BF,dataset,dim,size,nonlinearity,mean,harmonic_mean,standard_deviation,median,MSE_PRSM_1,RMSE_PRSM_1,MAE_PRSM_1,MSE_PRSM_2,RMSE_PRSM_2,MAE_PRSM_2,gradient1,gradient2,gradient3,gradient4
BF38,BF38_4,8,360,0.854106989,5.71E-16,-1.028587464,1,-0.048302649,0.978715229,0.989300374,0.770973918,2.77E-30,1.67E-15,1.31E-15,-0.003710646,0.024892922,0.39786299,0.000718963
BF38,BF38_5,8,450,0.934135109,-1.58E-16,0.531531633,1,-0.052482901,0.995661816,0.99782855,0.809688386,6.32E-30,2.51E-15,2.04E-15,0.005179171,0.015218047,0.373204888,0.000458146
BF38,BF38_6,8,540,0.902479168,3.57E-16,6.231266,1,-0.052961598,0.990489687,0.995233484,0.794260907,5.89E-30,2.43E-15,1.96E-15,0.001454939,0.011822755,0.351950842,0.000171304
BF38,BF38_7,8,630,0.895146894,-7.75E-17,-1.505796115,1,0.003339784,0.989005826,0.99448772,0.785267064,2.70E-30,1.64E-15,1.29E-15,-0.001752818,0.007476353,0.357430137,8.53E-05
BF38,BF38_8,8,720,0.897320047,1.80E-16,0.164666133,1,-0.08982321,0.989456827,0.994714445,0.797760258,3.39E-30,1.84E-15,1.46E-15,0.012538375,0.012911889,0.368473062,0.000410304
BF38,BF38_9,8,810,0.877990045,-2.70E-16,-2.361883931,1,-0.01927216,0.985113571,0.992528877,0.792231695,3.87E-30,1.97E-15,1.54E-15,-0.00134594,0.01624447,0.369130203,0.000334568
BF38,BF38_10,8,900,0.890355967,-8.88E-17,-3.32779265,1,-0.015314835,0.987978186,0.993970918,0.801152539,9.03E-30,3.01E-15,2.43E-15,-0.003925674,0.008338518,0.340088643,0.000244113
BF39,BF39_1,2,12,0.240061256,1.20E-16,-0.172118688,1,-0.393746036,0.422493106,0.649994697,0.527311589,8.30E-31,9.11E-16,7.18E-16,-0.13826339,0.007596985,0.259460483,0.004048342
BF39,BF39_2,2,24,0.361398403,0,-0.056569686,1,-0.25361873,0.592188001,0.769537524,0.549661001,4.85E-31,6.96E-16,5.02E-16,-0.178308467,0.026523242,0.305269245,0.015492287
BF39,BF39_3,2,36,0.227591915,2.04E-16,2.164009907,1,-0.364007889,0.403385751,0.635126563,0.476509328,4.16E-30,2.04E-15,1.63E-15,-0.016879006,0.004235395,0.136406683,0.000524089
BF39,BF39_4,2,48,0.371060962,1.85E-17,8.814629295,1,-0.239706404,0.604435687,0.777454621,0.506665278,1.20E-30,1.10E-15,8.58E-16,-0.073247872,0.005811707,0.187062503,0.002275684
BF39,BF39_5,2,60,0.345522571,-6.99E-17,-0.984050827,1,-0.311337356,0.571659295,0.75608154,0.586645981,9.98E-31,9.99E-16,8.01E-16,-0.032885683,0.011872999,0.119031508,0.003280238
BF39,BF39_6,2,72,0.337297642,-1.85E-16,-0.025882033,1,-0.340100472,0.560825585,0.748882891,0.52724683,1.08E-30,1.04E-15,8.31E-16,-0.026084084,0.001398243,0.127818848,0.00028534
BF39,BF39_7,2,84,0.380860762,4.49E-17,0.475686197,1,-0.34918746,0.616666605,0.785281226,0.578991144,1.49E-30,1.22E-15,9.91E-16,-0.017265669,0.007592492,0.091873629,0.001426845
BF39,BF39_8,2,96,0.300780078,-8.33E-17,-0.450436607,1,-0.326413747,0.5110915,0.714906637,0.57131394,5.53E-30,2.35E-15,1.90E-15,-0.02105,0.002760917,0.074938014,0.000775538
BF39,BF39_9,2,108,0.362283188,1.44E-16,-1.638005731,1,-0.337517052,0.593317268,0.770270906,0.608999162,8.48E-31,9.21E-16,7.17E-16,-0.015718748,0.000724965,0.081885734,0.000139164
